time,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
170,0,HEAD,21.699851763336564,113.70230829514747,24444.3569325051,150.0,283.65460081825756,405.48999749699806,0.6719151601600988,3555.6880843018725,50849.524435501226,150.47556449872377,0.0,24313.165950994677,0.0,50249.361493855926,1.063975411184022,90823.33779540934,5,2,1
170,1,FOLLOW,21.63879374155011,113.32498871603696,16706.927001680207,220.0,310.0,393.39651769417503,0.6326694138050132,-2714.861170396446,50932.12362691244,67.87637308759525,0.0,16833.280790598066,0.0,59245.24357772951,0.831824997952155,12373.780374614464,7,1,2
171,0,HEAD,21.69822639910096,113.70324669962643,24503.510255571393,150.0,283.3055968332015,405.3907349097361,0.6719151601600988,3549.1993839776314,50848.435505803674,151.56449419627265,0.0,24372.558090136597,0.0,50147.67877256617,1.063975411184022,90656.67320510447,5,2,1
171,1,FOLLOW,21.637399488548173,113.32381879885726,16661.703366672762,220.0,310.0,393.13469489057667,0.6321369299400773,-2713.4181004467914,50932.12349028357,67.87650971646484,0.0,16787.99140890946,0.0,59253.49250195054,0.8320346082049399,12387.53234902639,7,1,2
172,0,HEAD,21.696601432217413,113.70418487469408,24562.555219271875,150.0,282.9574503686473,405.29162922014666,0.6719151601600988,3542.6978220289125,50847.348649135536,152.65135086441305,0.0,24431.842348649905,0.0,50046.46237274676,1.063975411184022,90490.2854593803,5,2,1
172,1,FOLLOW,21.636006162836196,113.32264965976623,16616.5037788729,220.0,310.0,392.8732288193321,0.631605285670961,-2711.9752679918965,50932.12335358152,67.87664641851481,0.0,16742.726080555592,0.0,59261.72327863234,0.8322438947949744,12401.27525300479,7,1,2
173,0,HEAD,21.694976862054965,113.70512282071469,24621.49161256644,150.0,282.61016157162874,405.1926809026278,0.6719151601600988,3536.183597673712,50846.26386177109,153.73613822886117,0.0,24491.018508134082,0.0,49945.710886451474,1.063975411184022,90324.17531092637,5,2,1
173,1,FOLLOW,21.634613763150902,113.32148129770384,16571.328234251727,220.0,310.0,392.6121189510601,0.6310744794554489,-2710.532677270299,50932.12321680633,67.87678319370625,0.0,16697.484801719755,0.0,59269.935951561965,0.8324528580751327,12415.00909056062,7,1,2
174,0,HEAD,21.693352687980767,113.70606053805365,24680.319227722037,150.0,282.2637305673363,405.0938904262918,0.6719151601600988,3529.656909335934,50845.181139976674,154.8188600232775,0.0,24550.08635352497,0.0,49845.42290240827,1.063975411184022,90158.3435032092,5,2,1
174,1,FOLLOW,21.633222288230893,113.32031371161167,16526.17672871003,220.0,310.0,392.35136475669873,0.6305445097536018,-2709.0903325018944,50932.12307995804,67.87692004200022,0.0,16652.26756851422,0.0,59278.130564437284,0.8326614983992137,12428.733865724194,7,1,2
175,0,HEAD,21.691728909360112,113.70699802707739,24739.03786029938,150.0,281.91815745927784,404.9952582549794,0.6719151601600988,3523.1179546406142,50844.1004800108,155.89951998914975,0.0,24609.045673081397,0.0,49745.597006118915,1.063975411184022,89992.79077050049,5,2,1
175,1,FOLLOW,21.631831736816647,113.31914690043284,16481.049258078565,220.0,310.0,392.09096570750785,0.6300153750277597,-2707.6482378879973,50932.12294303668,67.87705696335783,0.0,16607.07437698028,0.0,59286.307160867305,0.8328698161219327,12442.449582545072,7,1,2
176,0,HEAD,21.69010552555646,113.70793528815342,24797.64730913953,150.0,281.5734423294371,404.89678484727324,0.6719151601600988,3516.566930409134,50843.02187812427,156.97812187567607,0.0,24667.89625837197,0.0,49646.231779958616,1.063975411184022,89827.517837905,5,2,1
176,1,FOLLOW,21.630442107650513,113.31798086311207,16435.945818118376,220.0,310.0,391.83092127507416,0.6294870737425441,-2706.2063976113536,50932.122806042295,67.87719395774016,0.0,16561.905223088448,0.0,59294.465784371736,0.8330778115989129,12456.156245091946,7,1,2
177,0,HEAD,21.688482535931453,113.70887232165032,24856.147376350444,150.0,281.2295852384377,404.7984706565127,0.6719151601600988,3510.0040326546655,50841.9453305603,158.05466943964868,0.0,24726.637904262,0.0,49547.325803273714,1.063975411184022,89662.52542138907,5,2,1
177,1,FOLLOW,21.629053399476717,113.31681559859562,16390.866404521104,220.0,310.0,391.5712309313122,0.628959604364861,-2704.7648158362135,50932.122668974924,67.87733102510832,0.0,16516.760102739157,0.0,59302.606478381706,0.8332854851866731,12469.853857452543,7,1,2
178,0,HEAD,21.68685993984493,113.70980912793766,24914.537867293406,150.0,280.88658622570364,404.70031613080783,0.6719151601600988,3503.429456577646,50840.87083355461,159.1291664453381,0.0,24785.270408900153,0.0,49448.87765247941,1.063975411184022,89497.8142278092,5,2,1
178,1,FOLLOW,21.62766561104135,113.31565110583136,16345.811012909298,220.0,310.0,391.31189414846955,0.6284329653639,-2703.3234967083085,50932.12253183461,67.87746816542341,0.0,16471.639011762778,0.0,59310.72928623886,0.8334928372426199,12483.542423733508,7,1,2
179,0,HEAD,21.68523773665496,113.71074570738607,24972.81859056943,150.0,280.54444530961587,404.6023217130544,0.6719151601600988,3496.843396561427,50839.79838333557,160.2016166643776,0.0,24843.793573704206,0.0,49350.885901156136,1.063975411184022,89333.38495494128,5,2,1
179,1,FOLLOW,21.626278741092385,113.3144873837687,16300.779638836717,220.0,310.0,391.0529103991298,0.6279071552111399,-2701.8824443549297,50932.12239462139,67.87760537864654,0.0,16426.541945919867,0.0,59318.83425119588,0.833699868125039,12497.221948060313,7,1,2
180,0,HEAD,21.683615925717852,113.71168206036718,25030.989358005565,150.0,280.2031624876795,404.5044878409486,0.6719151601600988,3490.2460461680134,50838.7279761243,161.27202387564853,0.0,24902.207203348953,0.0,49253.349120145125,1.063975411184022,89169.23829150973,5,2,1
180,1,FOLLOW,21.62489278837965,113.31332443135861,16255.772277788634,220.0,310.0,390.7942791562148,0.6273821723803488,-2700.441662884951,50932.12225733529,67.87774266473883,0.0,16381.468900901824,0.0,59326.921416416495,0.8339065781930831,12510.892434577134,7,1,2
181,0,HEAD,21.681994506388186,113.71261818725364,25089.04998464113,150.0,279.86273773667887,404.4068149470018,0.6719151601600988,3483.637598133875,50837.65960813478,162.34039186516551,0.0,24960.511105751128,0.0,49156.26587764339,1.063975411184022,89005.37491721696,5,2,1
181,1,FOLLOW,21.623507751654856,113.31216224755367,16210.788925182153,220.0,310.0,390.5359998929904,0.6268580153475849,-2699.001156388847,50932.12211997637,67.87788002366142,0.0,16336.419872330862,0.0,59334.99082497517,0.8341129678067642,12524.553887446753,7,1,2
182,0,HEAD,21.680373478018826,113.71355408841906,25147.000288713894,150.0,279.52317101283876,404.30930345855575,0.6719151601600988,3477.0182443659833,50836.593275573985,163.4067244259626,0.0,25018.705092056716,0.0,49059.634739297224,1.063975411184022,88841.79550277353,5,2,1
182,1,FOLLOW,21.622123629671567,113.311000831308,16165.829576366506,220.0,310.0,390.27807208306706,0.6263346825912032,-2697.560928938777,50932.12198254465,67.87801745537544,0.0,16291.394855760322,0.0,59343.04251985757,0.8343190373269452,12538.20631085046,7,1,2
183,0,HEAD,21.678752839960946,113.71448976423804,25204.84009164619,150.0,279.18446225198915,404.21195379779806,0.6719151601600988,3470.388175937786,50835.528974641966,164.4710253579797,0.0,25076.788976626947,0.0,48963.45426829588,1.063975411184022,88678.50070992779,5,2,1
183,1,FOLLOW,21.62074042118522,113.30984018157726,16120.894226623364,220.0,310.0,390.0204952004033,0.6258121725918516,-2696.120984588562,50932.12184504019,67.87815495984205,0.0,16246.393846675406,0.0,59351.076543960124,0.8345247871153275,12551.84970898794,7,1,2
184,0,HEAD,21.677132591564042,113.71542521508614,25262.56921803095,150.0,278.84661136971675,404.11476638177714,0.6719151601600988,3463.747583085476,50834.466701531994,165.53329846794935,0.0,25134.762577023863,0.0,48867.72302546304,1.063975411184022,88515.49119149658,5,2,1
