timestep,timestamp,id,callsign,lat,long,alt,cas,tas,mach,vs,heading,bank_angle,mass,fuel_consumed,thrust,drag,esf,accel,ap_track_angle,ap_heading,ap_nav_index,ap_dist_to_next_fix,trans_alt,flight_phase,configuration,speed_mode,vertical_mode,ap_speed_mode,ap_lateral_mode
789,2022-04-21T09:28:39,0,FULL,21.771333238565823,113.97772573043927,23981.905184041523,120.5414483899306,181.82446928846988,0.2906413378883677,899.634617115836,134.71407667408562,-15.0,62312.45981460143,960.540185398557,85711.20720587591,54072.77090823924,1.010616786168664,0.0,84.34990247395956,84.34990247395956,3,30.424544208572424,23951.87547450673,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
790,2022-04-21T09:28:40,0,FULL,21.7707520277226,113.97844465148334,23996.856043708653,120.50267333774872,181.82446928846988,0.2906413378883677,897.0515800277202,133.10452490174038,-15.0,62311.59002121774,961.409978782248,85646.59633890269,54095.50547295478,1.0106154618084264,0.0,84.21174944433,84.21174944433,3,30.35898961991162,23966.912568949312,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
791,2022-04-21T09:28:41,0,FULL,21.770188306625577,113.9791794868319,24011.763985997324,120.46401706828324,181.82446928846988,0.2906413378883677,894.4765373202544,131.4949731293951,-15.0,62310.72088189428,962.2791181057044,85582.19250008461,54118.19606549059,1.010614141254157,0.0,84.07623782194287,84.07623782194287,3,30.291732374797967,23981.90647906805,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
792,2022-04-21T09:28:42,0,FULL,21.76964251537961,113.97992973894895,24026.6291436828,120.42547917253664,181.82446928846988,0.2906413378883677,891.9094611285435,129.8854213570499,-15.0,62309.85239453626,963.1476054637272,85517.9949315778,54140.842701701455,1.0106128244940575,0.0,83.94346644609698,83.94346644609698,3,30.22280591495057,23996.857338568632,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
793,2022-04-21T09:28:43,0,FULL,21.76911507994097,113.9806948981331,24041.451649077888,120.38705924316363,181.82446928846988,0.2906413378883677,889.3503237052186,128.27586958470465,-15.0,62308.98455705654,964.0154429434536,85454.00287880868,54163.44539791871,1.010611511516371,0.0,83.81353401154968,83.81353401154968,3,30.15224488488178,24011.765280691256,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
794,2022-04-21T09:28:44,0,FULL,21.768606411781235,113.9814744429195,24056.231634034884,120.34875687446991,181.82446928846988,0.2906413378883677,886.7990974198267,126.66631781235942,-15.0,62308.1173673756,964.8826326243914,85390.21559045684,54186.00417094578,1.010610202309381,0.0,83.68653903449376,83.68653903449376,3,30.08008513264101,24026.63043821156,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
795,2022-04-21T09:28:45,0,FULL,21.768116907562565,113.98226784049167,24070.96922994752,120.31057166239448,181.82446928846988,0.2906413378883677,884.2557547581994,125.0567660400142,-15.0,62307.25082342154,965.7491765784504,85326.6323184386,54208.51903805506,1.0106088968614126,0.0,83.5625798154091,83.5625798154091,3,30.006363710221795,24041.452943441574,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
796,2022-04-21T09:28:46,0,FULL,21.76764694882473,113.98307454710172,24085.664567752883,120.2725032045079,181.82446928846988,0.2906413378883677,881.7202683218391,123.44721426766895,-15.0,62306.38492313002,966.6150768699766,85263.2523178899,54230.990016983655,1.010607595160831,0.0,83.44175439856576,83.44175439856576,3,29.93111887354145,24056.232928234385,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
797,2022-04-21T09:28:47,0,FULL,21.767196901684017,113.98389400849952,24100.31777793334,120.23455110000302,181.82446928846988,0.2906413378883677,879.1926108273158,121.83766249532374,-15.0,62305.51966444421,967.4803355557837,85200.07484714998,54253.417125929605,1.0106062971960432,0.0,83.32416052807804,83.32416052807804,3,29.854390082000965,24070.970523983357,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
798,2022-04-21T09:28:48,0,FULL,21.76676711654432,113.98472566037005,24114.92899051843,120.19671494968898,181.82446928846988,0.2906413378883677,876.6727551056397,120.22811072297851,-15.0,62304.65504531481,968.3449546851851,85137.09916774467,54275.80038354855,1.0106050029554947,0.0,83.2098956002875,83.2098956002875,3,29.776217997541245,24085.66586162599,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
799,2022-04-21T09:28:49,0,FULL,21.76635792782065,113.98556892877866,24129.49833508679,120.15899435597557,181.82446928846988,0.2906413378883677,874.1606741016741,118.61855895063329,-15.0,62303.791063699966,969.208936300028,85074.32454437015,54298.13980894958,1.0106037124276723,0.0,83.09905661231727,83.09905661231727,3,29.69664448315186,24100.31907164288,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
800,2022-04-21T09:28:50,0,FULL,21.765969653675217,113.98642323062408,24144.025940768017,120.12138892287342,181.82446928846988,0.2906413378883677,871.6563408735262,117.00900717828806,-15.0,62302.92771756527,970.0722824347232,85011.75024487643,54320.43542169166,1.0106024256011026,0.0,82.9917401066458,82.9917401066458,3,29.61571260077889,24114.93028406591,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
801,2022-04-21T09:28:51,0,FULL,21.765602595766403,113.9872879740984,24158.51193624455,120.08389825598826,181.82446928846988,0.2906413378883677,869.1597285919524,115.39945540594285,-15.0,62302.06500488371,970.9349951162782,84949.37554025139,54342.68724178012,1.0106011424643524,0.0,82.88804211148909,82.88804211148909,3,29.533466608579648,24129.49962847264,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
802,2022-04-21T09:28:52,0,FULL,21.765257039010688,113.98816255915418,24172.956449753547,120.04652196249882,181.82446928846988,0.2906413378883677,866.6708105397629,113.7899036335976,-15.0,62301.20292363566,971.7970763643287,84887.19970460449,54364.89528966285,1.0105998630060278,0.0,82.78805807683341,82.78805807683341,3,29.44995195744771,24144.027233992016,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
803,2022-04-21T09:28:53,0,FULL,21.76493325135785,113.98904637797791,24187.359609088733,120.009259651165,181.82446928846988,0.2906413378883677,864.1895601112369,112.18035186125238,-15.0,62300.34147180882,972.6585281911704,84825.22201515074,54387.05958622658,1.0105985872147742,0.0,82.69188280595381,82.69188280595381,3,29.365215286774237,24158.51322930772,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
804,2022-04-21T09:28:54,0,FULL,21.764631483579485,113.98993881546969,24201.72154160226,119.97211093231604,181.82446928846988,0.2906413378883677,861.715950811536,110.57080008890716,-15.0,62299.4806473982,973.519352601789,84763.44175219498,54409.180152793495,1.0105973150792769,0.0,82.59961038220843,82.59961038220843,3,29.279304419342385,24172.957742656126,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
805,2022-04-21T09:28:55,0,FULL,21.76435196907117,113.99083924972844,24216.04237420653,119.93507541783208,181.82446928846988,0.2906413378883677,859.249956256116,108.96124831656192,-15.0,62298.62044840609,974.3795515938938,84701.85819911577,54431.257011117545,1.0105960465882602,0.0,82.51133409098236,82.51133409098236,3,29.19226835533422,24187.3609018312,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
806,2022-04-21T09:28:56,0,FULL,21.764094923668253,113.99174705254292,24230.32223337603,119.89815272115248,181.82446928846988,0.2906413378883677,856.7915501701613,107.3516965442167,-15.0,62297.76087284203,975.2391271579464,84640.47064234987,54453.29018338076,1.0105947817304874,0.0,82.42714633656465,82.42714633656465,3,29.10415726533487,24201.72283418513,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
807,2022-04-21T09:28:57,0,FULL,21.76386054547554,113.99266158988722,24244.561245149165,119.86134245725952,181.82446928846988,0.2906413378883677,854.3407063880035,105.74214477187148,-15.0,62296.90191872278,976.0980812771936,84579.27837137665,54475.27969218989,1.010593520494761,0.0,82.34713855382734,82.34713855382734,3,29.01502248229788,24216.043666630445,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
808,2022-04-21T09:28:58,0,FULL,21.763649014710985,113.99358222242118,24258.75953513004,119.82464424267008,181.82446928846988,0.2906413378883677,851.8973988525483,104.13259299952624,-15.0,62296.04358407228,976.956415927696,84518.28067870234,54497.225560572806,1.010592262869921,0.0,82.27140111453366,82.27140111453366,3,28.92491649237228,24230.32352564113,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
