timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
838,2022-03-22T09:26:05,0,HEAD,22.45914702565941,113.85334998077349,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67387.58101192239,612.4189880776685,0.0,30000.001264552626,0.0,47084.32546335623,0.8166428710826028,47084.32546335623,6.0,1,2
839,2022-03-22T09:26:06,0,HEAD,22.46096911709365,113.8531483318668,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67387.04568068238,612.9543193176776,0.0,30000.001264552626,0.0,47084.13243648349,0.8166428710826028,47084.13243648349,6.0,1,2
840,2022-03-22T09:26:07,0,HEAD,22.46279120852789,113.8529466829601,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67386.510351637,613.4896483630604,0.0,30000.001264552626,0.0,47083.93941193551,0.8166428710826028,47083.93941193551,6.0,1,2
841,2022-03-22T09:26:08,0,HEAD,22.464613299962128,113.8527450340534,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67385.97502478621,614.0249752138435,0.0,30000.001264552626,0.0,47083.74638971224,0.8166428710826028,47083.74638971224,6.0,1,2
842,2022-03-22T09:26:09,0,HEAD,22.466435391396367,113.8525433851467,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67385.43970013,614.5602998700532,0.0,30000.001264552626,0.0,47083.55336981365,0.8166428710826028,47083.55336981365,6.0,1,2
843,2022-03-22T09:26:10,0,HEAD,22.468257482830605,113.85234173624,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67384.90437766834,615.0956223317161,0.0,30000.001264552626,0.0,47083.36035223973,0.8166428710826028,47083.36035223973,6.0,1,2
844,2022-03-22T09:26:11,0,HEAD,22.470079574264844,113.85214008733332,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67384.3690574012,615.6309425988584,0.0,30000.001264552626,0.0,47083.16733699043,0.8166428710826028,47083.16733699043,6.0,1,2
845,2022-03-22T09:26:12,0,HEAD,22.47190166569908,113.8519384384266,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67383.83373932855,616.1662606715067,0.0,30000.001264552626,0.0,47082.974324065726,0.8166428710826028,47082.974324065726,6.0,1,2
846,2022-03-22T09:26:13,0,HEAD,22.47372375713332,113.85173678951992,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67383.29842345037,616.7015765496874,0.0,30000.001264552626,0.0,47082.7813134656,0.8166428710826028,47082.7813134656,6.0,1,2
847,2022-03-22T09:26:14,0,HEAD,22.47554584856756,113.85153514061322,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67382.76310976663,617.236890233427,0.0,30000.001264552626,0.0,47082.58830519001,0.8166428710826028,47082.58830519001,6.0,1,2
848,2022-03-22T09:26:15,0,HEAD,22.4773679400018,113.85133349170653,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67382.22779827731,617.7722017227517,0.0,30000.001264552626,0.0,47082.39529923894,0.8166428710826028,47082.39529923894,6.0,1,2
849,2022-03-22T09:26:16,0,HEAD,22.47919003143604,113.85113184279984,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67381.69248898237,618.3075110176881,0.0,30000.001264552626,0.0,47082.20229561235,0.8166428710826028,47082.20229561235,6.0,1,2
850,2022-03-22T09:26:17,0,HEAD,22.48101212287028,113.85093019389312,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67381.15718188179,618.8428181182626,0.0,30000.001264552626,0.0,47082.00929431022,0.8166428710826028,47082.00929431022,6.0,1,2
851,2022-03-22T09:26:18,0,HEAD,22.482834214304518,113.85072854498644,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67380.62187697555,619.3781230245016,0.0,30000.001264552626,0.0,47081.81629533252,0.8166428710826028,47081.81629533252,6.0,1,2
