timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode,ap_track_angle,ap_heading,ap_nav_index
235,2022-03-28T06:46:30,1,FOLLOW,21.54929902737831,113.24989373438297,14391.732834975735,220.0,310.0,380.2387090009324,0.6060028585812626,-2312.8027990519245,67908.77470327275,91.2252967272,0.0,14499.426939613151,0.0,63055.7534283434,0.8423500998870971,13077.19126779922,6.0,1,2,-81.03141529986434,220.0,20
236,2022-03-28T06:46:31,1,FOLLOW,21.547951267972746,113.24876282996284,14353.20436195826,220.0,310.0,380.0249896954297,0.6055729525836616,-2311.708381048616,67908.62753873829,91.3724612616538,0.0,14460.848433991168,0.0,63061.73954758268,0.8425193471072008,13088.829720422384,6.0,1,2,-81.03242147387313,220.0,20
237,2022-03-28T06:46:32,1,FOLLOW,21.5466042656256,113.24763256079014,14314.694123312762,220.0,310.0,379.81152346591153,0.6051436317632507,-2310.614318729943,67908.48026554185,91.51973445810232,0.0,14422.288176502609,0.0,63067.71432293142,0.8426883608233572,13100.46138784616,6.0,1,2,-81.03342702744384,220.0,20
238,2022-03-28T06:46:33,1,FOLLOW,21.54525801944057,113.2465029261128,14276.202113083536,220.0,310.0,379.5983099643116,0.6047148951519643,-2309.5206137535083,67908.3328837727,91.66711622725184,0.0,14383.746161276857,0.0,63073.67777838406,0.8428571413019863,13112.086273674442,6.0,1,2,-81.03443196133799,220.0,20
239,2022-03-28T06:46:34,1,FOLLOW,21.5439125285226,113.2453739251798,14237.72832528738,220.0,310.0,379.3853488428814,0.6042867417832146,-2308.427267769367,67908.18539352003,91.8146064799171,0.0,14345.22238241523,0.0,63079.62993788933,0.8430256888097504,13123.704381517817,6.0,1,2,-81.03543627631602,220.0,20
240,2022-03-28T06:46:35,1,FOLLOW,21.54256779197785,113.24424555724106,14199.272753913714,220.0,310.0,379.17263975419286,0.6038591706918874,-2307.334282420005,67908.03779487293,91.96220512702128,0.0,14306.716833991415,0.0,63085.57082534965,0.8431940036135489,13135.31571499352,6.0,1,2,-81.03643997313728,220.0,20
241,2022-03-28T06:46:36,1,FOLLOW,21.541223808913717,113.24311782154764,14160.835392924708,220.0,310.0,378.9601823511399,0.6034321809143439,-2306.2416593403955,67907.89008792036,92.10991207959576,0.0,14268.229510051242,0.0,63091.50046462196,0.8433620859805167,13146.920277725409,6.0,1,2,-81.03744305255998,220.0,20
242,2022-03-28T06:46:37,1,FOLLOW,21.53988057843882,113.24199071735156,14122.416236255409,220.0,310.0,378.7479762869356,0.6030057714884212,-2305.1494001580168,67907.74227275117,92.2577272487801,0.0,14229.760404613282,0.0,63097.418879517536,0.8435299361780171,13158.5180733439,6.0,1,2,-81.03844551534124,220.0,20
243,2022-03-28T06:46:38,1,FOLLOW,21.538538099663025,113.24086424390592,14084.01527781386,220.0,310.0,378.5360212151183,0.6025799414534274,-2304.057506492806,67907.59434945413,92.4056505458218,0.0,14191.309511668633,0.0,63103.32609380123,0.8436975544736413,13170.109105485935,6.0,1,2,-81.03944736223701,220.0,20
244,2022-03-28T06:46:39,1,FOLLOW,21.537196371697405,113.23973840046484,14045.63251148124,220.0,310.0,378.3243167895483,0.6021546898501468,-2302.9659799572705,67907.44631811787,92.55368188207632,0.0,14152.876825181169,0.0,63109.22213119284,0.8438649411352032,13181.693377794953,6.0,1,2,-81.0404485940022,220.0,20
